UVIC Course Description,Subject,Course Number,Course Name
GMST110 - Intensive Beginning German,GMST,110,Intensive Beginning German
GMST153 - Representations of the Holocaust in Popular Culture,GMST,153,Representations of the Holocaust in Popular Culture
"GMST180 - Myths, Fairy Tales and Fantasy Fiction",GMST,180,"Myths, Fairy Tales and Fantasy Fiction"
GMST201 - Intermediate German I,GMST,201,Intermediate German I
GMST202 - Intermediate German II,GMST,202,Intermediate German II
GMST210 - Special Topics,GMST,210,Special Topics
GMST300 - Germanic Cultural Studies,GMST,300,Germanic Cultural Studies
GMST301 - Advanced German I,GMST,301,Advanced German I
GMST302 - Advanced German II,GMST,302,Advanced German II
GMST350 - A Short History of German Film,GMST,350,A Short History of German Film
GMST351 - The New German Cinema,GMST,351,The New German Cinema
"GMST353 - Literature and Film of the Holocaust and ""Third Reich""",GMST,353,"Literature and Film of the Holocaust and ""Third Reich"""
GMST354 - Weimar and Nazi Germany,GMST,354,Weimar and Nazi Germany
GMST355 - German Expressionism (1910-1933),GMST,355,German Expressionism (1910-1933)
GMST362 - The Two Germanies,GMST,362,The Two Germanies
GMST364 - The Emergence of Sexology in the German-Speaking World,GMST,364,The Emergence of Sexology in the German-Speaking World
"GMST365 - Marx, Nietzsche, Freud",GMST,365,"Marx, Nietzsche, Freud"
GMST369 - Topics in Scandinavian Studies,GMST,369,Topics in Scandinavian Studies
GMST389 - Experiential Learning,GMST,389,Experiential Learning
GMST401 - Topics in Popular Culture (in German),GMST,401,Topics in Popular Culture (in German)
GMST402 - Film (in German),GMST,402,Film (in German)
GMST410 - Special Topics,GMST,410,Special Topics
"GMST420 - Foreign Language, Culture and Identity",GMST,420,"Foreign Language, Culture and Identity"
GMST450 - Major Filmmakers,GMST,450,Major Filmmakers
GMST453 - After-Images of the Holocaust in Text and Film,GMST,453,After-Images of the Holocaust in Text and Film
GMST454 - A Cultural History of Vampires in Literature and Film,GMST,454,A Cultural History of Vampires in Literature and Film
GMST455 - German Visual Culture,GMST,455,German Visual Culture
GMST462 - Nietzsche in the English-Speaking World,GMST,462,Nietzsche in the English-Speaking World
"GMST465 - Adorno, Benjamin and Frankfurt School Critical Theory",GMST,465,"Adorno, Benjamin and Frankfurt School Critical Theory"
GMST480 - Major Writers,GMST,480,Major Writers
GMST482 - Special Topics in Holocaust Studies,GMST,482,Special Topics in Holocaust Studies
GMST484 - Holocaust Testimony and Archival Practice,GMST,484,Holocaust Testimony and Archival Practice
GMST487 - The Theatre and Dramaturgy of Bertolt Brecht,GMST,487,The Theatre and Dramaturgy of Bertolt Brecht
GMST488 - Performing German Drama,GMST,488,Performing German Drama
GMST489 - I-witness Field School,GMST,489,I-witness Field School
GMST490 - Directed Studies,GMST,490,Directed Studies
GMST499 - Honours Thesis,GMST,499,Honours Thesis
GDS201 - Global Development,GDS,201,Global Development
GDS202 - Contemporary Issues in Global Development Studies,GDS,202,Contemporary Issues in Global Development Studies
GDS301 - Working in Global Development,GDS,301,Working in Global Development
GDS390 - Special Topics in Global Development Studies,GDS,390,Special Topics in Global Development Studies
GDS391 - Politics of Environment & Development Field School,GDS,391,Politics of Environment & Development Field School
GDS400 - Global Development Studies Capstone Seminar,GDS,400,Global Development Studies Capstone Seminar
GDS490 - Directed Studies,GDS,490,Directed Studies
GDS491 - Directed Experiential Learning,GDS,491,Directed Experiential Learning
GREE101 - Introductory Ancient Greek I,GREE,101,Introductory Ancient Greek I
GREE102 - Introductory Ancient Greek II,GREE,102,Introductory Ancient Greek II
GREE201 - Advanced Greek Grammar,GREE,201,Advanced Greek Grammar
GREE202 - Introduction to Greek Literature,GREE,202,Introduction to Greek Literature
GREE301 - Greek Epic,GREE,301,Greek Epic
GREE302 - Greek Tragedy,GREE,302,Greek Tragedy
GREE303 - Greek Historians,GREE,303,Greek Historians
GREE304 - Plato,GREE,304,Plato
GREE305 - Greek Orators,GREE,305,Greek Orators
GREE306 - Greek Comedy,GREE,306,Greek Comedy
GREE310 - Koiné Greek,GREE,310,Koiné Greek
GREE481 - Seminar in Greek Literature,GREE,481,Seminar in Greek Literature
GRS100 - Discovering the Greeks and Romans,GRS,100,Discovering the Greeks and Romans
GRS101 - Discovering the Ancient Greeks,GRS,101,Discovering the Ancient Greeks
GRS102 - Discovering the Ancient Romans,GRS,102,Discovering the Ancient Romans
GRS200 - Greek and Roman Mythology,GRS,200,Greek and Roman Mythology
GRS203 - Unearthing the Ancient Mediterranean,GRS,203,Unearthing the Ancient Mediterranean
GRS204 - The Ancient World on Film,GRS,204,The Ancient World on Film
GRS250 - Greek and Latin Roots of English,GRS,250,Greek and Latin Roots of English
GRS300 - Heroes and Heroines in Action in Ancient Greek Epics,GRS,300,Heroes and Heroines in Action in Ancient Greek Epics
GRS314 - Age of Nero,GRS,314,Age of Nero
GRS315 - Age of Augustus,GRS,315,Age of Augustus
GRS316 - Pirates and Passion in Greek and Roman Novels and Romances,GRS,316,Pirates and Passion in Greek and Roman Novels and Romances
GRS320 - Greek Tragedy,GRS,320,Greek Tragedy
GRS323 - Ancient Comedy and Satire,GRS,323,Ancient Comedy and Satire
GRS325A - Topics in Greek Literature,GRS,325A,Topics in Greek Literature
GRS325B - Topics in Roman Literature,GRS,325B,Topics in Roman Literature
GRS326 - Topics in Greek and Roman Civilization,GRS,326,Topics in Greek and Roman Civilization
GRS328 - Myth and Theory,GRS,328,Myth and Theory
GRS331 - Greek History from the Bronze Age to Alexander,GRS,331,Greek History from the Bronze Age to Alexander
GRS332 - Social and Economic History of Greece,GRS,332,Social and Economic History of Greece
GRS333 - Alexander and the Hellenistic Age,GRS,333,Alexander and the Hellenistic Age
GRS335 - Women in the Greek and Roman World,GRS,335,Women in the Greek and Roman World
GRS336 - Democracy in the Ancient Mediterranean and its Legacy,GRS,336,Democracy in the Ancient Mediterranean and its Legacy
GRS337 - Herodotus and Greek Ethnography,GRS,337,Herodotus and Greek Ethnography
GRS341 - Rome's Empire,GRS,341,Rome's Empire
GRS342 - Roman Daily Life,GRS,342,Roman Daily Life
GRS344 - The Fall of the Roman Republic,GRS,344,The Fall of the Roman Republic
GRS348 - The Ancient City of Rome,GRS,348,The Ancient City of Rome
GRS349 - Jews and Christians in the Greek and Roman World,GRS,349,Jews and Christians in the Greek and Roman World
GRS350 - The Transformation of the Late Roman World,GRS,350,The Transformation of the Late Roman World
GRS352 - Bad Emperors,GRS,352,Bad Emperors
"GRS355 - Love, Sex, and the Body in the Ancient World",GRS,355,"Love, Sex, and the Body in the Ancient World"
GRS358 - The Ancient City of Athens,GRS,358,The Ancient City of Athens
GRS360 - Experiential Learning,GRS,360,Experiential Learning
"GRS361 - Minoan, Mycenaean, and Trojan Archaeology",GRS,361,"Minoan, Mycenaean, and Trojan Archaeology"
GRS371 - Archaeology of the Greek World,GRS,371,Archaeology of the Greek World
GRS372 - Archaeology of the Roman World,GRS,372,Archaeology of the Roman World
GRS374 - Pompeii and Herculaneum,GRS,374,Pompeii and Herculaneum
GRS376 - Ancient Technology,GRS,376,Ancient Technology
GRS377 - Ships and Seamanship in the Ancient World,GRS,377,Ships and Seamanship in the Ancient World
GRS379 - Early Greek Thought,GRS,379,Early Greek Thought
GRS380 - The Life and Times of Socrates,GRS,380,The Life and Times of Socrates
GRS381 - Greek and Roman Religion,GRS,381,Greek and Roman Religion
GRS383 - Greece and Rome in Modern Popular Culture,GRS,383,Greece and Rome in Modern Popular Culture
GRS395 - Classical Studies Abroad,GRS,395,Classical Studies Abroad
GRS432 - The Ancient Economy,GRS,432,The Ancient Economy
GRS443 - The Athenian Empire,GRS,443,The Athenian Empire
GRS461 - Culture Contact in the Eastern Mediterranean,GRS,461,Culture Contact in the Eastern Mediterranean
GRS480A - Special Topics in Greek History,GRS,480A,Special Topics in Greek History
GRS480C - Special Topics in Roman History,GRS,480C,Special Topics in Roman History
GRS482A - Seminar in Greek Archaeology,GRS,482A,Seminar in Greek Archaeology
GRS482B - Seminar in Roman Archaeology,GRS,482B,Seminar in Roman Archaeology
GRS493 - Directed Study in Greek or Roman Civilization,GRS,493,Directed Study in Greek or Roman Civilization
GRS495 - Practicum in Archaeology,GRS,495,Practicum in Archaeology
GRS499 - Graduating Essay in Honours,GRS,499,Graduating Essay in Honours
HLTH250 - Current Issues in Health and Community Services,HLTH,250,Current Issues in Health and Community Services
HLTH251 - Healthy Sexuality,HLTH,251,Healthy Sexuality
HLTH252 - Principles of Public and Population Health,HLTH,252,Principles of Public and Population Health
HLTH253 - Introduction to Indigenous Health in Canada,HLTH,253,Introduction to Indigenous Health in Canada
HLTH300 - Social Determinants of Health,HLTH,300,Social Determinants of Health
HLTH301 - Health Systems in Canada,HLTH,301,Health Systems in Canada
HLTH320 - Health Program Planning and Project Management,HLTH,320,Health Program Planning and Project Management
HLTH321 - Human Resource and Fiscal Management in Community Health Systems,HLTH,321,Human Resource and Fiscal Management in Community Health Systems
HLTH350 - Health Research Literacy,HLTH,350,Health Research Literacy
HLTH351 - Practice of Evaluation Research,HLTH,351,Practice of Evaluation Research
HLTH352 - Promoting Healthy Sexualities,HLTH,352,Promoting Healthy Sexualities
HLTH360 - Health Promotion,HLTH,360,Health Promotion
HLTH401 - Health Policy and Health Governance,HLTH,401,Health Policy and Health Governance
HLTH402 - Health and Community Supportive Technologies,HLTH,402,Health and Community Supportive Technologies
HLTH403 - Community Centred Public Health,HLTH,403,Community Centred Public Health
HLTH404 - Inter-Professional Practice,HLTH,404,Inter-Professional Practice
HLTH405 - Advocacy for Ageing and Disability in Canadian Society,HLTH,405,Advocacy for Ageing and Disability in Canadian Society
HLTH406 - Indigenous Global Health,HLTH,406,Indigenous Global Health
HLTH425 - Introductory Statistics,HLTH,425,Introductory Statistics
HLTH430 - Practicum,HLTH,430,Practicum
HLTH435 - Culminating Major Paper,HLTH,435,Culminating Major Paper
HLTH480 - Special Topics in Health Studies,HLTH,480,Special Topics in Health Studies
HLTH490 - Directed Readings in Health Studies,HLTH,490,Directed Readings in Health Studies
HINF112 - Introduction to Health Information Analysis,HINF,112,Introduction to Health Information Analysis
HINF115 - Programming for Health Care,HINF,115,Programming for Health Care
HINF130 - Introduction to Health Information Technology,HINF,130,Introduction to Health Information Technology
HINF140 - Introduction to the Canadian Health Care System,HINF,140,Introduction to the Canadian Health Care System
HINF200 - Principles of Health Database Design,HINF,200,Principles of Health Database Design
HINF201 - Database Management and Development for Health Care Systems,HINF,201,Database Management and Development for Health Care Systems
HINF202 - Introduction to Professional Practice,HINF,202,Introduction to Professional Practice
HINF230 - Organizational Behaviour and Change Management,HINF,230,Organizational Behaviour and Change Management
HINF265 - Health Care Delivery Organizational Models,HINF,265,Health Care Delivery Organizational Models
HINF280 - Biomedical Fundamentals,HINF,280,Biomedical Fundamentals
HINF310 - Electronic Records and Decision Support Systems,HINF,310,Electronic Records and Decision Support Systems
HINF320 - Project Management,HINF,320,Project Management
HINF330 - Legal and Security Issues in Health Informatics,HINF,330,Legal and Security Issues in Health Informatics
HINF335 - Health Information Standards,HINF,335,Health Information Standards
"HINF345 - Networks, Interoperability and Systems Security",HINF,345,"Networks, Interoperability and Systems Security"
HINF350 - Human Aspects of Health Care Information Systems,HINF,350,Human Aspects of Health Care Information Systems
HINF351 - Information Technology Procurement,HINF,351,Information Technology Procurement
HINF371 - Clinical Methodologies,HINF,371,Clinical Methodologies
"HINF381 - Epidemiology, Population Health and Public Health",HINF,381,"Epidemiology, Population Health and Public Health"
HINF410 - Information Management and Technology,HINF,410,Information Management and Technology
HINF420 - Societal Implications of Information Technology,HINF,420,Societal Implications of Information Technology
HINF450 - Health Information System Design,HINF,450,Health Information System Design
HINF461 - System Evaluation and Quality Improvement,HINF,461,System Evaluation and Quality Improvement
HINF470 - Trends in Health Informatics,HINF,470,Trends in Health Informatics
HINF485 - Artificial Intelligence in Health Care,HINF,485,Artificial Intelligence in Health Care
HINF490 - Directed Study,HINF,490,Directed Study
HINF491 - Topics in Health Informatics,HINF,491,Topics in Health Informatics
HS200 - Health and Society,HS,200,Health and Society
HS400A - Directed Experiential Learning in Health and Society: Research,HS,400A,Directed Experiential Learning in Health and Society: Research
HS400B - Directed Experiential Learning in Health and Society: Community Service,HS,400B,Directed Experiential Learning in Health and Society: Community Service
"HSTR100 - History, Power and Justice",HSTR,100,"History, Power and Justice"
HSTR101 - Discovering the Past,HSTR,101,Discovering the Past
HSTR101A - Ten Days that Shook the World,HSTR,101A,Ten Days that Shook the World
HSTR101C - Epidemics from the Black Death to AIDS,HSTR,101C,Epidemics from the Black Death to AIDS
HSTR101D - History of Money,HSTR,101D,History of Money
HSTR101E - Environmental History of the World,HSTR,101E,Environmental History of the World
HSTR101F - Food in World History,HSTR,101F,Food in World History
HSTR101G - History of Oil,HSTR,101G,History of Oil
HSTR103 - Global Wars in Asia and the Pacific,HSTR,103,Global Wars in Asia and the Pacific
"HSTR110 - Conquest and Encounter in the Atlantic World, 1492-1700",HSTR,110,"Conquest and Encounter in the Atlantic World, 1492-1700"
"HSTR111 - Age of Encounters in the Pacific World, 1700-1900",HSTR,111,"Age of Encounters in the Pacific World, 1700-1900"
HSTR112A - World History 1900-1945,HSTR,112A,World History 1900-1945
HSTR112B - The World Since 1945-present,HSTR,112B,The World Since 1945-present
HSTR115 - The Second World War,HSTR,115,The Second World War
HSTR119 - Deportation and Exile,HSTR,119,Deportation and Exile
HSTR120 - History of Human Rights,HSTR,120,History of Human Rights
"HSTR121 - History, Music and the American Century",HSTR,121,"History, Music and the American Century"
"HSTR122 - Conspiracies, Hoaxes and Moral Panics",HSTR,122,"Conspiracies, Hoaxes and Moral Panics"
HSTR131 - History of Technology,HSTR,131,History of Technology
HSTR200 - Topics in History,HSTR,200,Topics in History
HSTR200A - Scandalous Histories,HSTR,200A,Scandalous Histories
HSTR201 - Introduction to Historical Research,HSTR,201,Introduction to Historical Research
HSTR210A - The United States to the Civil War,HSTR,210A,The United States to the Civil War
HSTR210B - The United States since 1865,HSTR,210B,The United States since 1865
HSTR220A - History of England to the Glorious Revolution,HSTR,220A,History of England to the Glorious Revolution
HSTR220B - History of England from the Glorious Revolution - present,HSTR,220B,History of England from the Glorious Revolution - present
HSTR230A - Canada to Confederation,HSTR,230A,Canada to Confederation
HSTR230B - Canada from Confederation - present,HSTR,230B,Canada from Confederation - present
HSTR236A - The Creation of the Medieval World 300-1000,HSTR,236A,The Creation of the Medieval World 300-1000
HSTR236B - The European Middle Age 1000-1500,HSTR,236B,The European Middle Age 1000-1500
"HSTR240A - Europe, Renaissance to the French Revolution",HSTR,240A,"Europe, Renaissance to the French Revolution"
"HSTR240B - Europe, Napoleon to the European Union",HSTR,240B,"Europe, Napoleon to the European Union"
HSTR253 - Activism in Asia,HSTR,253,Activism in Asia
HSTR265A - China and the Premodern World,HSTR,265A,China and the Premodern World
HSTR265B - China and the Modern West,HSTR,265B,China and the Modern West
HSTR275 - Modern South Asia from Early Empires to Gandhi,HSTR,275,Modern South Asia from Early Empires to Gandhi
HSTR276 - Latin America,HSTR,276,Latin America
HSTR277A - The Middle East and the First World War,HSTR,277A,The Middle East and the First World War
HSTR277B - History of the Middle East since World War II,HSTR,277B,History of the Middle East since World War II
HSTR285 - Environmental Justice in Asia,HSTR,285,Environmental Justice in Asia
HSTR300 - Exploring the Past,HSTR,300,Exploring the Past
HSTR300A - The Backpacker's Guide to European History,HSTR,300A,The Backpacker's Guide to European History
HSTR300B - Hockey Nation: Sports History and Canadian Identity,HSTR,300B,Hockey Nation: Sports History and Canadian Identity
HSTR300C - Gaming and the Historical Imagination,HSTR,300C,Gaming and the Historical Imagination
"HSTR302A - Revolutionary America and the Early Republic, 1763-1815",HSTR,302A,"Revolutionary America and the Early Republic, 1763-1815"
"HSTR302B - Antebellum America and the Civil War, 1815-1865",HSTR,302B,"Antebellum America and the Civil War, 1815-1865"
"HSTR303A - The Emergence of Modern America, 1890-1945",HSTR,303A,"The Emergence of Modern America, 1890-1945"
HSTR303B - United States since 1945,HSTR,303B,United States since 1945
HSTR304 - Social History of the Automobile,HSTR,304,Social History of the Automobile
HSTR306 - Sex and Power in American History,HSTR,306,Sex and Power in American History
"HSTR307A - The United States in the World, 1750-1914",HSTR,307A,"The United States in the World, 1750-1914"
"HSTR307B - The United States in the World, 1914-present",HSTR,307B,"The United States in the World, 1914-present"
HSTR308 - The United States and Vietnam,HSTR,308,The United States and Vietnam
"HSTR309 - Race, Inequality and the Origins of American Urban Crisis",HSTR,309,"Race, Inequality and the Origins of American Urban Crisis"
HSTR310 - Topics in American History,HSTR,310,Topics in American History
HSTR310B - US-Soviet Relations in the Cold War Era,HSTR,310B,US-Soviet Relations in the Cold War Era
HSTR310C - American History in Film,HSTR,310C,American History in Film
HSTR310D - The American West,HSTR,310D,The American West
HSTR310E - Religion in the United States,HSTR,310E,Religion in the United States
HSTR312 - Tudor-Stuart England,HSTR,312,Tudor-Stuart England
"HSTR313A - Britain's Rise to World Power, 1689-1837",HSTR,313A,"Britain's Rise to World Power, 1689-1837"
"HSTR313B - English Society, 1689-1837",HSTR,313B,"English Society, 1689-1837"
"HSTR314A - Becoming the Victorians, Britain 1789-1851",HSTR,314A,"Becoming the Victorians, Britain 1789-1851"
"HSTR314B - The Victorians to the Great War, Britain 1851-1914",HSTR,314B,"The Victorians to the Great War, Britain 1851-1914"
HSTR315A - Britain's Short Twentieth Century 1901-1951,HSTR,315A,Britain's Short Twentieth Century 1901-1951
HSTR315B - Modern Britain 1951-the present,HSTR,315B,Modern Britain 1951-the present
"HSTR316A - Death and the Afterlife in England, 1200-1750",HSTR,316A,"Death and the Afterlife in England, 1200-1750"
"HSTR316B - Death and the Afterlife in England, 1750 to the Present",HSTR,316B,"Death and the Afterlife in England, 1750 to the Present"
"HSTR318 - The Bloody Code: Crime in England, 1660-1800",HSTR,318,"The Bloody Code: Crime in England, 1660-1800"
HSTR320 - Topics in British History,HSTR,320,Topics in British History
HSTR320A - The British Monarchy since 1689,HSTR,320A,The British Monarchy since 1689
HSTR320B - Homicide in Modern Britain,HSTR,320B,Homicide in Modern Britain
"HSTR320C - Bloodfeud, Politics and Culture in the Celtic World, 1485-1746",HSTR,320C,"Bloodfeud, Politics and Culture in the Celtic World, 1485-1746"
HSTR320E - Ice and Exploration,HSTR,320E,Ice and Exploration
HSTR322A - Canadian Political History Since 1867,HSTR,322A,Canadian Political History Since 1867
HSTR322B - Canadian Constitutional History,HSTR,322B,Canadian Constitutional History
HSTR323 - Canadian-American Relations,HSTR,323,Canadian-American Relations
HSTR324A - Northwest America to 1849,HSTR,324A,Northwest America to 1849
"HSTR324B - British Columbia, 1849-1900",HSTR,324B,"British Columbia, 1849-1900"
HSTR324C - British Columbia in the 20th Century,HSTR,324C,British Columbia in the 20th Century
HSTR325 - Environmental History of British Columbia,HSTR,325,Environmental History of British Columbia
HSTR326 - Religion and Spirituality in Canada,HSTR,326,Religion and Spirituality in Canada
HSTR327A - Gender and Sexuality in Canada to 1920,HSTR,327A,Gender and Sexuality in Canada to 1920
HSTR327B - Gender and Sexuality in Canada from 1920 - present,HSTR,327B,Gender and Sexuality in Canada from 1920 - present
HSTR328A - Indigenous North America to 1850,HSTR,328A,Indigenous North America to 1850
HSTR328B - Indigenous-Settler Relations in Canada since 1850,HSTR,328B,Indigenous-Settler Relations in Canada since 1850
HSTR328C - Indigenous-Settler Relations in the United States since 1850,HSTR,328C,Indigenous-Settler Relations in the United States since 1850
HSTR328D - Indigenous-Settler Treaties in Canada since 1600,HSTR,328D,Indigenous-Settler Treaties in Canada since 1600
"HSTR329A - Race, Racism and Ethnicity in Canada to 1900",HSTR,329A,"Race, Racism and Ethnicity in Canada to 1900"
"HSTR329B - Race, Racism and Ethnicity in Canada since 1900",HSTR,329B,"Race, Racism and Ethnicity in Canada since 1900"
HSTR330 - Topics in Canadian History,HSTR,330,Topics in Canadian History
HSTR330D - Drink and Social Control in Canada,HSTR,330D,Drink and Social Control in Canada
HSTR330E - Canada's 1960s,HSTR,330E,Canada's 1960s
HSTR331 - The Red River Resistance and the Northwest Rebellion,HSTR,331,The Red River Resistance and the Northwest Rebellion
HSTR336A - Topics in Medieval Europe,HSTR,336A,Topics in Medieval Europe
"HSTR336S - Sex, Violence and Death in Modern Medievalism",HSTR,336S,"Sex, Violence and Death in Modern Medievalism"
HSTR336T - The Created Medieval History of J.R.R. Tolkien's Middle-Earth,HSTR,336T,The Created Medieval History of J.R.R. Tolkien's Middle-Earth
HSTR337A - The Birth of the Renaissance,HSTR,337A,The Birth of the Renaissance
HSTR337B - Reformation and Religious War in Europe,HSTR,337B,Reformation and Religious War in Europe
HSTR337C - Private Life in the Renaissance,HSTR,337C,Private Life in the Renaissance
HSTR340 - Topics in European History,HSTR,340,Topics in European History
"HSTR340A - Terror, Security and Military Intervention in Europe",HSTR,340A,"Terror, Security and Military Intervention in Europe"
HSTR340B - Migration and Ethnic Tensions in Post-1945 Europe,HSTR,340B,Migration and Ethnic Tensions in Post-1945 Europe
HSTR340C - The Thirty Years War,HSTR,340C,The Thirty Years War
HSTR342A - Europe from Louis XIV to the French Revolution,HSTR,342A,Europe from Louis XIV to the French Revolution
"HSTR342B - Revolutionary and Napoleonic Europe, 1789-1815",HSTR,342B,"Revolutionary and Napoleonic Europe, 1789-1815"
"HSTR342C - Democracy, War and Nation Building in Europe, 1814-1914",HSTR,342C,"Democracy, War and Nation Building in Europe, 1814-1914"
"HSTR343A - Cinema and European Society, 1900-1945",HSTR,343A,"Cinema and European Society, 1900-1945"
HSTR344A - The First World War,HSTR,344A,The First World War
HSTR344B - Europe Between Two World Wars,HSTR,344B,Europe Between Two World Wars
HSTR344C - The Second World War and the Recovery of Western Europe,HSTR,344C,The Second World War and the Recovery of Western Europe
HSTR345 - The Eastern Front in the First and Second World Wars,HSTR,345,The Eastern Front in the First and Second World Wars
HSTR346 - France from the Renaissance to Louis XIV,HSTR,346,France from the Renaissance to Louis XIV
"HSTR346A - Enlightenment and Revolution in France, 1715-1804",HSTR,346A,"Enlightenment and Revolution in France, 1715-1804"
"HSTR347A - Reaction, Reform and Revolution in France, 1814-1914",HSTR,347A,"Reaction, Reform and Revolution in France, 1814-1914"
"HSTR347B - Decline and Renewal of France, 1914-2014",HSTR,347B,"Decline and Renewal of France, 1914-2014"
HSTR349 - Hitler in History,HSTR,349,Hitler in History
HSTR350B - Weimar and Nazi Germany,HSTR,350B,Weimar and Nazi Germany
HSTR350C - Germany After 1945,HSTR,350C,Germany After 1945
"HSTR351 - Imperial Russia, 1689-1917",HSTR,351,"Imperial Russia, 1689-1917"
"HSTR352 - The Soviet Union and its Successor States, 1917-2000",HSTR,352,"The Soviet Union and its Successor States, 1917-2000"
HSTR352A - Putin's Russia,HSTR,352A,Putin's Russia
HSTR353 - Modern Ukraine and Russian-Ukrainian Conflict,HSTR,353,Modern Ukraine and Russian-Ukrainian Conflict
HSTR354 - Global Taiwan,HSTR,354,Global Taiwan
HSTR359 - Modern Chinese Literature and Society 1900-1949 (in English),HSTR,359,Modern Chinese Literature and Society 1900-1949 (in English)
HSTR360 - Topics in World History,HSTR,360,Topics in World History
HSTR360A - Africa since 1800,HSTR,360A,Africa since 1800
HSTR360B - The African Diaspora,HSTR,360B,The African Diaspora
HSTR365 - Topics in East Asian History,HSTR,365,Topics in East Asian History
HSTR365C - China and the World,HSTR,365C,China and the World
HSTR365D - Chinese Politics,HSTR,365D,Chinese Politics
HSTR366 - War and Revolution in China,HSTR,366,War and Revolution in China
HSTR370A - Intersections of Law and Religion from Ancient to Current Worlds,HSTR,370A,Intersections of Law and Religion from Ancient to Current Worlds
HSTR371 - Topics in Thematic and Comparative History,HSTR,371,Topics in Thematic and Comparative History
HSTR371A - 20th Century Warfare,HSTR,371A,20th Century Warfare
HSTR371B - Comparative World Revolutions,HSTR,371B,Comparative World Revolutions
HSTR375 - History of Decolonization in Asia and Africa,HSTR,375,History of Decolonization in Asia and Africa
"HSTR376A - Conquest and Rebellion in Latin America, 1492 - 1783",HSTR,376A,"Conquest and Rebellion in Latin America, 1492 - 1783"
"HSTR376B - The Struggle for Independence in Latin America, 1767-1867",HSTR,376B,"The Struggle for Independence in Latin America, 1767-1867"
HSTR376C - Revolutions and Dictators in 20th-century Latin America,HSTR,376C,Revolutions and Dictators in 20th-century Latin America
HSTR376D - The Women of Latin America,HSTR,376D,The Women of Latin America
"HSTR376E - History of the Aztecs, Inka and Maya",HSTR,376E,"History of the Aztecs, Inka and Maya"
HSTR377 - Topics in the History of the Modern Middle East,HSTR,377,Topics in the History of the Modern Middle East
HSTR377A - History of Modern Egypt,HSTR,377A,History of Modern Egypt
HSTR378 - History of the Israeli-Palestinian Conflict,HSTR,378,History of the Israeli-Palestinian Conflict
HSTR379 - Western Imperialism in the Middle East and North Africa,HSTR,379,Western Imperialism in the Middle East and North Africa
HSTR380 - Religion and the Making of the Modern Middle East,HSTR,380,Religion and the Making of the Modern Middle East
HSTR381 - Medicine in the Modern World,HSTR,381,Medicine in the Modern World
HSTR382 - Topics in the Historical Study of Peace and War,HSTR,382,Topics in the Historical Study of Peace and War
HSTR383A - War and Society Prior to 1700,HSTR,383A,War and Society Prior to 1700
"HSTR383B - War and Society, 1700 - 1914",HSTR,383B,"War and Society, 1700 - 1914"
"HSTR383C - War and Society, 1945-present",HSTR,383C,"War and Society, 1945-present"
HSTR385 - Topics in Social and Cultural History,HSTR,385,Topics in Social and Cultural History
HSTR385A - Witchcraft and its Persecution in the Early Modern Atlantic World,HSTR,385A,Witchcraft and its Persecution in the Early Modern Atlantic World
HSTR385B - History of the Modern Olympic Games,HSTR,385B,History of the Modern Olympic Games
HSTR385C - History of Sexuality,HSTR,385C,History of Sexuality
HSTR385D - Pirates and Piracy Since 1500,HSTR,385D,Pirates and Piracy Since 1500
HSTR386A - Ocean History and Changing Human Relationships with the Sea,HSTR,386A,Ocean History and Changing Human Relationships with the Sea
HSTR389 - Topics in Public History,HSTR,389,Topics in Public History
HSTR389A - Public Histories Local and Global,HSTR,389A,Public Histories Local and Global
HSTR390A - Early History through Role Playing Games,HSTR,390A,Early History through Role Playing Games
HSTR390B - Modern History through Role Playing Games,HSTR,390B,Modern History through Role Playing Games
HSTR409 - Seminar in American Gender and Sexuality,HSTR,409,Seminar in American Gender and Sexuality
HSTR410 - Seminar in American History,HSTR,410,Seminar in American History
HSTR412 - Seminar in Medieval England,HSTR,412,Seminar in Medieval England
HSTR414 - Seminar in 17th-century England,HSTR,414,Seminar in 17th-century England
HSTR414A - Society and Politics in XVII c. England,HSTR,414A,Society and Politics in XVII c. England
HSTR420 - Seminar in British History,HSTR,420,Seminar in British History
HSTR420A - Plots & Conspiratorial Politics in England 1588-1688,HSTR,420A,Plots & Conspiratorial Politics in England 1588-1688
HSTR420B - Social Change in England During the Two World Wars,HSTR,420B,Social Change in England During the Two World Wars
HSTR420C - Propaganda in Peace and War in Britain and Germany,HSTR,420C,Propaganda in Peace and War in Britain and Germany
HSTR426 - Seminar in Canadian Military History,HSTR,426,Seminar in Canadian Military History
HSTR426A - Veterans' Oral History,HSTR,426A,Veterans' Oral History
HSTR427 - Seminar in Indigenous History of Canada,HSTR,427,Seminar in Indigenous History of Canada
HSTR427A - Decolonizing Settler Societies,HSTR,427A,Decolonizing Settler Societies
HSTR429 - Seminar in Canadian Political History,HSTR,429,Seminar in Canadian Political History
HSTR430 - Seminar in Canadian History,HSTR,430,Seminar in Canadian History
"HSTR430A - Canada’s Internment Era, A Field School",HSTR,430A,"Canada’s Internment Era, A Field School"
HSTR436 - Seminar in Medieval Europe,HSTR,436,Seminar in Medieval Europe
"HSTR436F - Individual, Family and Community in Medieval Society",HSTR,436F,"Individual, Family and Community in Medieval Society"
"HSTR436L - Lawyers, Writing and the Medieval Formation of the West",HSTR,436L,"Lawyers, Writing and the Medieval Formation of the West"
